trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0700337,,0.0457997,0.0700337,1.1078125,1.1179773,7.9628228,0,up,1,6.8219731,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
1,0,1,0,8.0000223,,7.978849,8.0000223,8.9854122,9.002683,9.7382584,-5,down,1,0.7439481,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
2,0,2,0,9.7662323,,9.7479804,9.7662323,10.751799,10.7680882,11.5541106,0,up,1,0.7928178,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
3,0,3,0,11.582704,,11.5643617,11.582704,12.5664903,12.5827319,12.8020412,-4,down,1,0.2250629,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
4,0,4,0,12.8317254,,12.8099756,12.8317254,13.8166417,13.8329555,14.5669295,0,up,1,0.7470352,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
5,0,5,0,14.5825201,,14.5706773,14.5825201,15.5828791,15.5828791,16.4166516,0,down,0,0.8296371,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
6,0,6,0,16.4314529,,16.4204027,16.4314529,17.4315369,17.4315369,18.049427,0,up,1,0.6081797,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
7,0,7,0,18.0641551,,18.052405,18.0641551,19.0655166,19.0655166,19.7489561,-1,down,1,0.6715379,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
8,0,8,0,19.7643474,,19.7541039,19.7643474,20.7650755,20.7650755,21.3674643,0,up,1,0.5921785,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
9,0,9,0,21.3967686,,21.3764142,21.3967686,22.3816071,22.3981926,22.8669816,4,down,1,0.4679317,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
10,0,10,0,22.8963126,,22.8761614,22.8963126,23.8810533,23.897689,24.20005,1,up,0,0.3041984,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
11,0,11,0,24.2294405,,24.208725,24.2294405,25.2145455,25.2311418,25.8171445,0,down,0,0.5990563,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
12,0,12,0,25.8457055,,25.8273964,25.8457055,26.8307283,26.8474097,26.9674172,0,down,0,0.1272813,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
13,0,13,0,26.9954806,,26.9772498,26.9954806,27.9804471,27.9970216,28.2171166,0,up,1,0.2334779,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
14,0,14,0,28.2450049,,28.2270237,28.2450049,29.230628,29.2468976,29.600108,0,up,1,0.3666517,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
15,0,15,0,29.6282381,,29.6099597,29.6282381,30.6125505,30.6290017,30.8480739,0,down,0,0.2325565,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
16,0,16,0,30.8777816,,30.8550156,30.8777816,31.8623189,31.8791591,32.4816133,0,down,0,0.6127875,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
17,0,17,0,32.510592,,32.49033,32.510592,33.4950965,33.5111647,33.7988815,0,down,0,0.2943441,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
18,0,18,0,33.8271279,,33.8087528,33.8271279,34.8122675,34.8288397,35.3148463,1,down,1,0.4856629,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
19,0,19,0,35.3434966,,35.3246258,35.3434966,36.3293636,36.3455539,36.4821216,2,down,1,0.1397812,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
20,0,20,0,36.5098858,,36.4936081,36.5098858,37.4946653,37.5114372,37.797889,0,down,0,0.2955706,None,275654,1,2023-09-13_16h41.05.405,Orientation discrimination 1,2023.2.1,59.79008896,2023-09-13 16h41.27.793765 +0530
